Topic,Count,Name,CustomName
-1,242046,-1_people_new_like_said,-1-peopl-new-like
0,6971,0_says_said_dont_im,0-says-said-dont
1,4469,1_students_education_university_school,1-stude-educa-unive
2,3863,2_facebook_zuckerberg_news_social,2-faceb-zucke-news
3,3497,3_ai_intelligence_artificial_artificial intelligence,3-ai-intel-artif
4,3119,4_book_novel_books_read,4-book-novel-books
5,2325,5_robots_robot_sex_robotics,5-robot-robot-sex
6,2223,6_weapons_enemy_enemies_combat,6-weapo-enemy-enemi
7,1922,7_cars_car_selfdriving_driverless,7-cars-car-selfd
8,1891,8_art_museum_gallery_artist,8-art-museu-galle
9,1884,9_china_chinese_chinas_beijing,9-china-chine-china
10,1856,10_camera_google_screen_tv,10-camer-googl-scree
11,1792,11_technology_tech_technologies_technological,11-techn-tech-techn
12,1739,12_football_league_arsenal_manchester,12-footb-leagu-arsen
13,1530,13_data_privacy_big data_protection,13-data-priva-big d
14,1524,14_tax_bank_financial_card,14-tax-bank-finan
15,1509,15_ball_south africa_africa_south,15-ball-south-afric
16,1461,16_pandemic_covid19_coronavirus_virus,16-pande-covid-coron
17,1349,17_murray_court_fiver_tennis,17-murra-court-fiver
18,1276,18_algorithms_learning_algorithm_machine learning,18-algor-learn-algor
19,1267,19_nuclear_australia_defence_australian,19-nucle-austr-defen
20,1175,20_amazon_echo_amazons_jeff,20-amazo-echo-amazo
21,1116,21_apple_ipad_apples_watch,21-apple-ipad-apple
22,1093,22_turing_alan_alan turing_test,22-turin-alan-alan 
23,1076,23_chess_hassabis_lee_champion,23-chess-hassa-lee
24,1044,24_women_female_engineering_gender,24-women-femal-engin
25,1038,25_automation_jobs_davos_revolution,25-autom-jobs-davos
26,998,26_google_search_googles_results,26-googl-searc-googl
27,982,27_drones_drone_unmanned_strikes,27-drone-drone-unman
28,941,28_phone_iphone_smartphone_mobile,28-phone-iphon-smart
29,931,29_voice_speech_voices_recognition,29-voice-speec-voice
30,920,30_xbox_console_sony_controls,30-xbox-conso-sony
31,915,31_film_ex_films_movie,31-film-ex-films
32,910,32_facial_facial recognition_recognition_faces,32-facia-facia-recog
33,910,33_brain_brains_memory_human,33-brain-brain-memor
34,907,34_album_therapy_mental_music,34-album-thera-menta
35,894,35_business_shares_follow_today,35-busin-share-follo
36,892,36_google_protest_sexual_employees,36-googl-prote-sexua
37,867,37_cancer_patients_doctors_ai,37-cance-patie-docto
38,844,38_windows_orders_copy_10,38-windo-order-copy
39,828,39_russia_russian_ukraine_moscow,39-russi-russi-ukrai
40,817,40_language_word_words_translation,40-langu-word-words
41,780,41_stanley_steven_film_boxes,41-stanl-steve-film
42,755,42_machines_machine_humans_human,42-machi-machi-human
43,753,43_article_amended_article amended_festival,43-artic-amend-artic
44,746,44_cat_cats_images_image,44-cat-cats-image
45,745,45_trump_biden_donald_election,45-trump-biden-donal
46,729,46_nhs_health_patients_gp,46-nhs-healt-patie
47,717,47_science_science fiction_fiction_scientists,47-scien-scien-ficti
48,711,48_trees_species_plant_alamy,48-trees-speci-plant
49,710,49_mars_moon_space_planets,49-mars-moon-space
